2021-07-10 20:59:43,055 Epoch 0
2021-07-10 21:00:52,698 Epoch 0
2021-07-10 21:01:34,227 Epoch 0
2021-07-10 21:02:43,521 Epoch 0
2021-07-10 21:13:49,941 Epoch 0
2021-07-10 21:14:10,328 Epoch 0
2021-07-10 21:15:57,372 Epoch 0
2021-07-10 21:18:15,397 0 Loss: 0.7099747657775879, Acc: 0.0360327216066482, Prec: 0.0360327216066482, Recall: 1.0, F1: 0.06955904163098198, AUC_ROC: 0.5014340547808209
2021-07-10 21:18:54,105 Epoch 0
2021-07-10 21:18:55,819 0 Loss: 0.7329111695289612, Acc: 0.04661530470914128, Prec: 0.04661530470914128, Recall: 1.0, F1: 0.08907820189404905, AUC_ROC: 0.4788786823371452
2021-07-10 21:18:56,490 1 Loss: 0.7291070818901062, Acc: 0.0597082756232687, Prec: 0.0597082756232687, Recall: 1.0, F1: 0.11268813690853023, AUC_ROC: 0.5224160283121718
2021-07-10 21:18:57,179 2 Loss: 0.7274057865142822, Acc: 0.045901142659279776, Prec: 0.045901142659279776, Recall: 1.0, F1: 0.08777338657948644, AUC_ROC: 0.4579330543299009
2021-07-10 21:18:57,949 3 Loss: 0.7254297733306885, Acc: 0.03242944944598338, Prec: 0.03242944944598338, Recall: 1.0, F1: 0.06282162808003103, AUC_ROC: 0.5029410489081625
2021-07-10 21:18:58,628 4 Loss: 0.7222466468811035, Acc: 0.03392269736842105, Prec: 0.03392269736842105, Recall: 1.0, F1: 0.06561940743686617, AUC_ROC: 0.47130810599303635
2021-07-10 21:18:59,270 5 Loss: 0.7189053297042847, Acc: 0.031260820637119116, Prec: 0.031260820637119116, Recall: 1.0, F1: 0.060626409947012225, AUC_ROC: 0.45884559682908405
2021-07-10 21:21:19,646 Epoch 0
2021-07-10 21:22:08,936 Epoch 0
2021-07-10 21:22:56,035 Epoch 0
2021-07-10 21:25:20,544 Epoch 0
2021-07-10 21:26:55,343 Epoch 0
2021-07-10 21:27:21,853 0 Loss: 0.6936595439910889, Acc: 0.045976887119113574, Prec: 0.04285946914183358, Recall: 1.0, F1: 0.08219605883638861, AUC_ROC: 0.4960682166876269
2021-07-10 21:28:22,652 Epoch 0
2021-07-10 21:28:24,288 0 Loss: 0.6842180490493774, Acc: 0.964075484764543, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.48422121130206375
2021-07-10 21:30:51,691 Epoch 0
2021-07-10 21:32:11,664 0 Loss: 0.6906822919845581, Acc: 0.9455289127423823, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.49767346275943164
2021-07-10 21:32:15,184 1 Loss: 0.6868810057640076, Acc: 0.9652332929362881, Prec: 0.0, Recall: 0.0, F1: 0.0, AUC_ROC: 0.46537744200214004
